p_brand,p_discount,p_discount_label,p_id,p_image,p_mrp,p_name,p_price,p_rating,p_rating_count,p_season,p_url
Tokyo Talkies,₹674,71%,15927630,http://assets.myntassets.com/assets/images/15927630/2023/9/14/a6513216-5ceb-4dc7-b0cf-1287101f15f01694687195970TokyoTalkiesBlackPinkFloralA-LineMiniDress1.jpg,₹949,Tokyo Talkies Black & Pink Floral A-Line Mini Dress,₹275,4.1,1135,Winter,https://www.myntra.com/dresses/tokyo+talkies/tokyo-talkies-black--pink-floral-a-line-mini-dress/15927630/buy
Femvy,₹1200,60%,23354148,http://assets.myntassets.com/assets/images/23354148/2023/5/23/4480d421-f6bd-4477-8d21-d73535cd2c121684856780791FemvyBlueGeorgetteMaxiDress1.jpg,₹1999,Femvy Teal Blue V-Neck Cuffed Sleeves Georgette Maxi Dress,₹799,4.1,275,Summer,https://www.myntra.com/dresses/femvy/femvy-teal-blue-v-neck-cuffed-sleeves-georgette-maxi-dress/23354148/buy
H&M,₹175,35%,23498646,http://assets.myntassets.com/assets/images/23498646/2023/6/1/dba6af4a-871f-4c7d-acb6-6f3d73f975d01685611030652Flounce-trimmedjerseydress1.jpg,₹499,H&M Girls Pure Cotton Flounce-Trimmed Jersey Dress,₹324,4.6,12,Winter,https://www.myntra.com/dresses/h%26m/hm-girls-pure-cotton-flounce-trimmed-jersey-dress/23498646/buy
H&M,₹525,35%,23253420,http://assets.myntassets.com/assets/images/23253420/2023/5/18/770ee8fe-ab19-47a0-b083-023a19abfcd01684407455052Smockedcottondress1.jpg,₹1499,H&M Smocked Pure Cotton Dress,₹974,4.5,88,Summer,https://www.myntra.com/dresses/h%26m/hm-smocked-pure-cotton-dress/23253420/buy
H&M,₹920,40%,23886870,http://assets.myntassets.com/assets/images/23886870/2023/7/5/c5bc736c-1658-4363-a5fa-c7ab6dfcee7d1688565411892HMCrinkledTunicDress1.jpg,₹2299,H&M Crinkled Tunic Dress,₹1379,4.3,14,Fall,https://www.myntra.com/dresses/h%26m/hm-crinkled-tunic-dress/23886870/buy
Stylum,₹1825,73%,22415842,http://assets.myntassets.com/assets/images/22415842/2023/3/24/b42cf1f5-2819-4428-876f-d393ee7d15451679650985085StylumWomenLavenderEmbroideredFlaredSleevesThreadWorkAnarkal1.jpg,₹2499,Stylum Ethnic Motifs Printed Fit & Flare Ethnic Dress,₹674,4.2,423,Summer,https://www.myntra.com/ethnic-dresses/stylum/stylum-ethnic-motifs-printed-fit--flare-ethnic-dress/22415842/buy
H&M,0,,24974902,http://assets.myntassets.com/assets/images/24974902/2023/9/15/0c9629de-0f69-448f-9ba2-6e1173e7fdc71694764588560HMGirlsCollaredVelourDresses1.jpg,₹1299,H&M Girls Collared Velour Dress,₹1299,4,6,Winter,https://www.myntra.com/dresses/h%26m/hm-girls-collared-velour-dress/24974902/buy
SASSAFRAS,₹1424,57%,23058016,http://assets.myntassets.com/assets/images/23058016/2023/5/6/74011511-6dc5-4c80-9e59-fdb3333db5531683387888623SASSAFRASRedFloralPrintCrepeMaxiDress1.jpg,₹2498,SASSAFRAS Red Floral Printed Cut Out Crepe Maxi Dress,₹1074,4.3,76,Summer,https://www.myntra.com/dresses/sassafras/sassafras-red-floral-printed-cut-out-crepe-maxi-dress/23058016/buy
Antheaa,₹1689,66%,22270028,http://assets.myntassets.com/assets/images/22270028/2023/3/9/e0dde381-c0b1-4013-ac6c-81e305db96351678369098845AntheaaBlueFloralPrintPuffSleeveChiffonFitFlareMidiDress1.jpg,₹2559,Antheaa Square Neck Floral Printed Smocked Tiered Chiffon Fit & Flare Midi Dress,₹870,4.3,597,Spring,https://www.myntra.com/dresses/antheaa/antheaa-square-neck-floral-printed-smocked-tiered-chiffon-fit--flare-midi-dress/22270028/buy
AASK,₹3107,84%,22389436,http://assets.myntassets.com/assets/images/22389436/2023/3/17/6a8fab47-5121-45ed-9617-28e38863fef01679034681187AASKMaroonPuffSleeveCrepeFitFlareMidiDress1.jpg,₹3698,AASK Puff Sleeve Crepe Fit & Flare Midi Dress,₹591,3.9,195,Summer,https://www.myntra.com/dresses/aask/aask-puff-sleeve-crepe-fit--flare-midi-dress/22389436/buy
Tokyo Talkies,₹1209,78%,17024274,http://assets.myntassets.com/assets/images/17024274/2022/2/2/45ce3da5-29a6-46aa-ab92-065903e20a281643809251797TokyoTalkiesRedMaxiDress1.jpg,₹1549,Tokyo Talkies Women Gorgeous Red Solid Dress,₹340,4.3,622,Summer,https://www.myntra.com/dresses/tokyo+talkies/tokyo-talkies-women-gorgeous-red-solid-dress/17024274/buy
Berrylush,₹1386,77%,16542068,http://assets.myntassets.com/assets/images/16542068/2022/1/5/47eeaafa-9ccd-45d8-b12d-98e12d112ca81641371558008-Berrylush-Women-Pink-Ditsy-Floral-Drawstring-Front-Milkmaid--1.jpg,₹1799,Berrylush Women Pretty Pink Floral Puff Sleeves Dress,₹413,4.2,1592,Summer,https://www.myntra.com/dresses/berrylush/berrylush-women-pretty-pink-floral-puff-sleeves-dress/16542068/buy
ASPORA,₹3375,75%,23391680,http://assets.myntassets.com/assets/images/23391680/2023/5/24/7ccb52e9-9cfe-4b4b-b514-4285c772ee3f1684952850168ASPORAYellowFloralPrintTie-UpNeckBellSleeveGeorgetteMaxiDres1.jpg,₹4499,ASPORA Yellow Floral Print Tie-Up Neck Bell Sleeve Georgette Maxi Dress,₹1124,4.1,61,Winter,https://www.myntra.com/dresses/aspora/aspora-yellow-floral-print-tie-up-neck-bell-sleeve-georgette-maxi-dress/23391680/buy
Antheaa,₹1976,76%,16635048,http://assets.myntassets.com/assets/images/16635048/2022/1/21/a44bad6c-3c6d-45a8-a6f1-ad36225729541642745853018-Antheaa-Women-Dresses-1661642745852544-1.jpg,₹2599,Antheaa Green Chiffon Tiered Dress,₹623,4.2,378,Summer,https://www.myntra.com/dresses/antheaa/antheaa-green-chiffon-tiered-dress/16635048/buy
MANGO,₹1245,50%,23502648,http://assets.myntassets.com/assets/images/23502648/2023/6/26/99be8b56-1c05-4191-85e5-a01d0fed778f1687760302253-MANGO-Pure-Cotton-Sheath-Mini-Dress-8291687760302031-1.jpg,₹2490,MANGO Pure Cotton Sheath Mini Dress,₹1245,3.4,17,Fall,https://www.myntra.com/dresses/mango/mango-pure-cotton-sheath-mini-dress/23502648/buy
Women Touch,₹839,,16897894,http://assets.myntassets.com/assets/images/16897894/2022/1/21/3d59a678-6eec-4f0b-b554-9958ad3b75d91642760626047Kurtas1.jpg,₹1599,Women Touch Woman Black Ethnic Motifs Maxi Dress,₹760,3.9,617,Summer,https://www.myntra.com/ethnic-dresses/women+touch/women-touch-woman-black-ethnic-motifs-maxi-dress/16897894/buy
Outcast,₹345,15%,24365412,http://assets.myntassets.com/assets/images/24365412/2023/9/19/38ed5d08-0a96-4212-8e91-85782d119dcd1695101608573-Outcast-Shoulder-Straps-Bodycon-Mini-Dress-9651695101608225-4.jpg,₹2299,Outcast Shoulder Straps Bodycon Mini Dress,₹1954,2.8,4,Summer,https://www.myntra.com/dresses/outcast/outcast-shoulder-straps-bodycon-mini-dress/24365412/buy
Vishudh,₹2088,72%,24199462,http://assets.myntassets.com/assets/images/24199462/2023/7/26/30b29cd9-9747-4637-aa70-edc6b900d5431690336064382VishudhPeach-ColouredFloralPrintA-LineMidiDress1.jpg,₹2899,Vishudh Peach-Coloured Ethnic Motifs Printed A-Line Maxi Ethnic Dress With Long Overlay,₹811,3.6,14,Winter,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-peach-coloured-ethnic-motifs-printed-a-line-maxi-ethnic-dress-with-long-overlay/24199462/buy
H&M,₹320,40%,22967422,http://assets.myntassets.com/assets/images/22967422/2023/5/1/4bd2e043-4591-40f6-a135-4c9c4a805db91682913922547Flared-skirtjerseydress1.jpg,₹799,H&M Flared-Skirt Jersey Dress,₹479,4.3,21,Winter,https://www.myntra.com/dresses/h%26m/hm-flared-skirt-jersey-dress/22967422/buy
AASK,₹3107,84%,22389438,http://assets.myntassets.com/assets/images/22389438/2023/3/17/88f0d116-bfbc-4d78-9ef3-8a9e10a8f1b01679020507429AASKPolyesterMustardColorShortMinidress1.jpg,₹3698,AASK Puff Sleeve Crepe Fit & Flare Dress,₹591,3.7,149,Summer,https://www.myntra.com/dresses/aask/aask-puff-sleeve-crepe-fit--flare-dress/22389438/buy
Tokyo Talkies,₹1755,78%,2299060,http://assets.myntassets.com/assets/images/2299060/2022/11/22/a84c7bbf-b121-4a67-a65f-5a14ae1baf5f1669112698422TokyoTalkiesBlackFloralPrintFlaredMaxiDresswithaBelt1.jpg,₹2249,Tokyo Talkies Black Floral Print Flared Maxi Dress with a Belt,₹494,4.1,12096,Winter,https://www.myntra.com/dresses/tokyo+talkies/tokyo-talkies-black-floral-print-flared-maxi-dress-with-a-belt/2299060/buy
H&M,₹1035,45%,21678716,http://assets.myntassets.com/assets/images/21678716/2023/1/23/c4546f4c-0202-41f9-81aa-b54dc78b8e211674495024701Gatheredmeshdress1.jpg,₹2299,H&M Gathered Mesh Dress,₹1264,4.2,91,Summer,https://www.myntra.com/dresses/h%26m/hm-gathered-mesh-dress/21678716/buy
Tokyo Talkies,₹900,75%,23091636,http://assets.myntassets.com/assets/images/23091636/2023/5/9/cf0a710c-a2b0-41bb-ad95-39a75cbd52e11683606103485TokyoTalkiesLavenderBodyconDress1.jpg,₹1199,Tokyo Talkies Lavender Sweetheart Neck Bodycon Dress,₹299,4.3,120,Summer,https://www.myntra.com/dresses/tokyo+talkies/tokyo-talkies-lavender-sweetheart-neck-bodycon-dress/23091636/buy
